2021/06/08 09:59:59 [error] 7#7: *229 open() "/usr/share/nginx/html/static/item/bootstrap/css/bootstrap.css.map" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/bootstrap/css/bootstrap.css.map HTTP/1.1", host: "item.phonemall.com"
2021/06/08 12:40:06 [error] 7#7: *232 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/08 12:41:55 [error] 7#7: *253 "/usr/share/nginx/html/static/reg/https:/www.jd.com/index.html" is not found (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/reg/https://www.jd.com/?cu=true&utm_source=haosou-pinzhuan&utm_medium=cpc&utm_campaign=t_288551095_haosoupinzhuan&utm_term=0a875d61c5fe47d8bc48679132932d23_0_2702c6f4ae1c4cd191c1ee4398e2e21b HTTP/1.1", host: "auth.phonemall.com", referrer: "http://auth.phonemall.com/reg.html"
2021/06/08 12:41:59 [error] 7#7: *253 "/usr/share/nginx/html/static/reg/https:/www.jd.com/index.html" is not found (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/reg/https://www.jd.com/?cu=true&utm_source=haosou-pinzhuan&utm_medium=cpc&utm_campaign=t_288551095_haosoupinzhuan&utm_term=0a875d61c5fe47d8bc48679132932d23_0_2702c6f4ae1c4cd191c1ee4398e2e21b HTTP/1.1", host: "auth.phonemall.com", referrer: "http://auth.phonemall.com/reg.html"
2021/06/08 12:42:01 [error] 7#7: *255 "/usr/share/nginx/html/static/reg/https:/www.jd.com/index.html" is not found (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/reg/https://www.jd.com/?cu=true&utm_source=haosou-pinzhuan&utm_medium=cpc&utm_campaign=t_288551095_haosoupinzhuan&utm_term=0a875d61c5fe47d8bc48679132932d23_0_2702c6f4ae1c4cd191c1ee4398e2e21b HTTP/1.1", host: "auth.phonemall.com", referrer: "http://auth.phonemall.com/reg.html"
2021/06/08 12:42:04 [error] 7#7: *260 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/08 12:42:06 [error] 7#7: *275 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?catalog3Id=225"
2021/06/08 12:42:08 [error] 7#7: *278 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/2.html"
2021/06/08 12:42:11 [error] 7#7: *282 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/2.html"
2021/06/09 06:18:53 [error] 7#7: *8 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/09 06:18:53 [error] 7#7: *20 open() "/usr/share/nginx/html/static/index/img/top_find_logo.png" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/index/img/top_find_logo.png HTTP/1.1", host: "phonemall.com", referrer: "http://phonemall.com/"
2021/06/09 06:19:01 [error] 7#7: *29 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?catalog3Id=1"
2021/06/09 06:19:01 [error] 7#7: *29 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?catalog3Id=1"
2021/06/09 06:19:15 [error] 7#7: *29 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?catalog3Id=1"
2021/06/09 06:19:15 [error] 7#7: *34 open() "/usr/share/nginx/html/static/search/img/5919637an271a1301.jpg" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/search/img/5919637an271a1301.jpg HTTP/1.1", host: "search.phonemall.com", referrer: "http://search.phonemall.com/list.html?catalog3Id=1"
2021/06/09 06:19:19 [error] 7#7: *41 open() "/usr/share/nginx/html/static/item/scss/jd.css" failed (2: No such file or directory), client: 172.100.0.1, server: phonemall.com, request: "GET /static/item/scss/jd.css HTTP/1.1", host: "item.phonemall.com", referrer: "http://item.phonemall.com/1.html"
